operation,formula,why_valid,source,code_location
Gaussian product center,P=(alpha*A+beta*B)/(alpha+beta),Gaussian product theorem for two s primitives.,standard Gaussian integral theory,h8hf/integrals.py:_gaussian_product
AO overlap,S_ab=N_a N_b (pi/p)^(3/2) exp[-mu R_AB^2],Analytic integral of two normalized s Gaussians.,standard Gaussian integral theory,h8hf/integrals.py:primitive_overlap
kinetic integral,T_ab=mu(3-2 mu R_AB^2) S_ab,Applying -1/2 nabla^2 to an s Gaussian and integrating analytically.,standard Gaussian integral theory,h8hf/integrals.py:primitive_kinetic
nuclear attraction,V_ab(C)=-Z 2pi/p K_AB F0(p R_PC^2),Analytic Coulomb attraction integral reduced to the Boys F0 function.,standard Gaussian integral theory,h8hf/integrals.py:primitive_nuclear_attraction
electron repulsion,(ab|cd)=2 pi^(5/2)/(pq sqrt(p+q)) K_AB K_CD F0(rho R_PQ^2),Analytic four-center s-Gaussian Coulomb integral.,standard Gaussian integral theory,h8hf/integrals.py:primitive_eri
Roothaan equations,F C = S C epsilon,Stationarity of the RHF energy under S-orthonormal orbital variations.,Hartree-Fock theory,h8hf/rhf.py:generalized_eigh
RHF Fock matrix,F_pq=h_pq+sum_rs P_rs[2(pq|rs)-(pr|qs)],Closed-shell Coulomb and same-spin exchange for one-spin density P.,Hartree-Fock theory,h8hf/rhf.py:build_fock
core-orbital transform,U_core->HF=C_core^T S C_HF,C_core^T S is the inverse of an S-orthonormal square coefficient matrix.,https://arxiv.org/abs/2004.04174,run_all.py:build_reproduction
Slater 1-RDM,"gamma=C_occ C_occ^T, gamma^2=gamma, Tr(gamma)=4",One-particle projector of a four-particle Slater determinant.,https://arxiv.org/abs/2004.04174,run_all.py:build_reproduction
Givens action,"G(theta)=[[cos,-sin],[sin,cos]]",Exact SO(2) orbital rotation generated by a_p^dag a_q-a_q^dag a_p.,https://arxiv.org/abs/2004.04174,h8hf/circuits.py:givens_matrix
circuit parameter extraction,min_theta ||gamma(theta)-gamma_RHF||_F^2,A Slater state is determined by its occupied-subspace projector; the 16-parameter diamond spans the half-filled manifold.,https://arxiv.org/abs/2004.04174,h8hf/circuits.py:fit_projector_to_diamond
native compilation,"G(theta) ~ RZ(pi), SQISWAP, RZ(pi-theta)RZ(+theta), SQISWAP","Direct 4x4 matrix multiplication gives -G(theta), differing only by global phase.",https://arxiv.org/abs/2004.04174,h8hf/circuits.py:verify_native_givens
Slater bitstring probability,"Pr(S)=|det(C_occ[S,:])|^2",Coefficient of a Fock determinant is the corresponding occupied-orbital minor.,Slater determinant expansion,h8hf/sampling.py:slater_probabilities
diagonal 1-RDM,gamma_pp=<n_p>=sum_x p(x) x_p,Jordan-Wigner maps number to (I-Z_p)/2.,https://arxiv.org/abs/2004.04174,h8hf/data_processing.py:occupations_from_distribution
real off-diagonal 1-RDM,gamma_pq=(<n_q>'-<n_p>')/2 after G_pq(pi/4),The pi/4 number-conserving analyzer diagonalizes a_p^dag a_q+a_q^dag a_p.,https://arxiv.org/abs/2004.04174,h8hf/data_processing.py:reconstruct_gamma_from_weights
two-spin RHF energy,E=2 h.gamma + 2 gamma.gamma.(pq|rs) - gamma.gamma.(pr|qs) + E_nuc,Wick factorization of the 2-RDM for a closed-shell Slater determinant.,https://arxiv.org/abs/2004.04174,h8hf/rhf.py:rhf_energy_from_gamma
rank-4 projection,"gamma_proj=V diag(1,1,1,1,0,0,0,0) V^T",Eckart-Young eigenvalue rounding gives the nearest rank-4 projector in Frobenius norm.,https://arxiv.org/abs/2004.04174,h8hf/data_processing.py:rank_n_projector
Slater fidelity,F=|det(C_ref^T C_meas)|^2,Overlap of two equal-particle Slater determinants is the determinant of the orbital-overlap matrix.,https://arxiv.org/abs/2004.04174,h8hf/data_processing.py:slater_fidelity
