parameter,value,classification,derivation_or_source,source,code_location
molecule,linear H8,model choice,Eight hydrogen nuclei on the z axis; H8 is one of the benchmark chains in Arute et al.,https://arxiv.org/abs/2004.04174,h8hf/integrals.py:linear_h_chain
nearest-neighbor spacing,1.3000 angstrom,geometry,Fixed benchmark geometry used in the prior project and explicitly illustrated for the hydrogen-chain experiment.,https://arxiv.org/abs/2004.04174,run_all.py:build_reproduction
charge / multiplicity,0 / 1,electronic state,Neutral H8 has 8 electrons; the closed-shell benchmark is a singlet.,https://arxiv.org/abs/2004.04174,gaussian input and run_all.py
electronic-structure method,RHF,model choice,"Alpha and beta spatial orbitals are constrained to be identical, so only one spin sector is encoded.",https://arxiv.org/abs/2004.04174,h8hf/rhf.py
atomic basis,STO-3G,model choice,The paper states that the original one-body integrals are represented in the STO-3G atomic basis.,https://arxiv.org/abs/2004.04174,h8hf/integrals.py
STO-3G primitive exponents,3.42525091; 0.62391373; 0.16885540,basis data,Standard H 1s STO-3G contraction.,"Hehre, Stewart, Pople, J. Chem. Phys. 51, 2657 (1969)",h8hf/integrals.py:H_STO3G_EXPONENTS
STO-3G contraction coefficients,0.15432897; 0.53532814; 0.44463454,basis data,Standard H 1s STO-3G contraction; primitive normalization is applied explicitly.,"Hehre, Stewart, Pople, J. Chem. Phys. 51, 2657 (1969)",h8hf/integrals.py:H_STO3G_COEFFICIENTS
angstrom-to-bohr,1.8897261254578281,physical constant,CODATA-compatible atomic-unit conversion used for all analytic Gaussian integrals.,NIST Atomic Units,h8hf/integrals.py:ANGSTROM_TO_BOHR
number of spatial modes / qubits,8,encoding,One STO-3G 1s function per H atom and one explicitly simulated spin sector.,https://arxiv.org/abs/2004.04174,run_all.py
particles in simulated spin sector,4,encoding,RHF singlet has 4 alpha and 4 beta electrons; alpha and beta 1-RDMs are identical.,https://arxiv.org/abs/2004.04174,run_all.py
initial orbital basis,core orbitals,basis transformation,"Generalized eigenvectors of h_core C = S C epsilon, matching the paper's non-interacting initial orbitals.",https://arxiv.org/abs/2004.04174,h8hf/rhf.py:generalized_eigh
SCF energy / density tolerances,1e-12 Ha / 1e-10 RMS,numerical control,Chosen tighter than the mHartree accuracy target so reference convergence is negligible.,analysis choice,h8hf/rhf.py:run_rhf
SCF maximum iterations / DIIS size,256 / 8,numerical control,Convergence safeguards; neither changes the converged stationary solution.,analysis choice,h8hf/rhf.py:run_rhf
Givens layout,"7-layer diamond, 16 rotations",circuit ansatz,At half filling the Grassmann manifold has Nocc*Nvirt=4*4=16 real dimensions; the paper uses the nearest-neighbor diamond.,https://arxiv.org/abs/2004.04174,h8hf/circuits.py:diamond_layout
Givens parameter fit,nonlinear least squares on ||gamma(theta)-gamma_target||_F,parameter derivation,Every angle is fitted from the molecular RHF projector; no angle is hand-entered.,https://quantumai.google/cirq/experiments/hfvqe,h8hf/circuits.py:fit_projector_to_diamond
fit seed / starts / tolerance,20260729+setting / 8 / max error <1e-11,numerical control,Deterministic multi-start removes optimizer ambiguity; closure is checked against the target 1-RDM.,analysis choice,run_all.py and h8hf/circuits.py
native gates per Givens,2 SQISWAP + 3 RZ,hardware compilation,"Gate identity is evaluated explicitly under the PyQPanda RZ and SqiSWAP matrices, including its -i sign.",https://pyqpanda-tutorial-en.readthedocs.io/en/latest/chapter2/index.html,h8hf/circuits.py:native_gate_lines
RZ angle unit,radian,file convention,All pi multiples are numerically expanded; this prevents the earlier normalized-pi ambiguity.,project convention,circuits/native/*.qcir
measurement settings,9 = 1 diagonal + 8 swap-network layers,measurement design,The N+1 particle-number-preserving 1-RDM protocol in Appendix C; 28 unordered off-diagonal pairs appear exactly once.,https://arxiv.org/abs/2004.04174,h8hf/circuits.py:swap_network_matchings
off-diagonal analyzer,G(pi/4),measurement design,"After the analyzer, gamma_pq=(n_q-n_p)/2 for the ordered pair (p,q).",https://arxiv.org/abs/2004.04174,h8hf/circuits.py:measurement_rotation
reported bit order,q[7]...q[0],data convention,Matches the earlier project convention; the parser also exposes the alternative explicitly.,project convention,h8hf/data_processing.py:bitstring_to_occupations
finite-shot demonstration,"1000 shots per setting, seed 20260729",sampling choice,"Matches the user's simulator repetition count; it is a demonstration, not a Gaussian parameter.",user/project choice,run_all.py
post-selection,Hamming weight = 4,error mitigation,All basis rotations conserve the particle number in the explicitly encoded spin sector.,https://arxiv.org/abs/2004.04174,h8hf/data_processing.py:postselect_distribution
pure-state projection,four largest natural occupations -> 1; remaining -> 0,error mitigation,Closest rank-4 orthogonal projector in Frobenius norm; equivalent eigenvector limit of McWeeny purification when it converges.,https://arxiv.org/abs/2004.04174,h8hf/data_processing.py:rank_n_projector
bootstrap samples / seed,2000 / 20260730,uncertainty analysis,Nonparametric multinomial resampling of each observed setting.,analysis choice,h8hf/sampling.py:bootstrap_energies
Gaussian route,"RHF/STO-3G SCF=(Tight,XQC,MaxCycle=512) NoSymm Pop=Full",classical cross-check,"Same molecular model; Tight sets a stricter SCF threshold, XQC is only a convergence fallback.",https://gaussian.com/scf/,h8hf/gaussian.py:render_gaussian_input
